slot,team,player,source,url,retrieved
1,Washington Wizards,AJ Dybantsa,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
2,Utah Jazz,Darryn Peterson,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
3,Memphis Grizzlies,Cameron Boozer,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
4,Chicago Bulls,Caleb Wilson,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
5,Los Angeles Clippers,Keaton Wagler,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
6,Brooklyn Nets,Mikel Brown Jr.,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
7,Sacramento Kings,Darius Acuff Jr.,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
8,Atlanta Hawks,Kingston Flemings,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
9,Dallas Mavericks,Morez Johnson Jr.,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
10,Milwaukee Bucks,Brayden Burries,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
11,Golden State Warriors,Yaxel Lendeborg,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
12,Oklahoma City Thunder,Aday Mara,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
13,Milwaukee Bucks,Nate Ament,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
14,Charlotte Hornets,Hannes Steinbach,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
15,Chicago Bulls,Dailyn Swain,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
16,Oklahoma City Thunder,Bennett Stirtz,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
17,Detroit Pistons,Ebuka Okorie,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
18,Charlotte Hornets,Christian Anderson Jr.,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
19,Toronto Raptors,Allen Graves,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
20,San Antonio Spurs,Jayden Quaintance,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
21,Memphis Grizzlies,Karim Lopez,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
22,Philadelphia 76ers,Labaron Philon Jr.,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
23,Atlanta Hawks,Zuby Ejiofor,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
24,Los Angeles Lakers,Cameron Carr,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
25,Dallas Mavericks,Sergio de Larrea,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
26,San Antonio Spurs,Tarris Reed Jr.,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
27,Boston Celtics,Chris Cenac Jr.,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
28,Brooklyn Nets,Joshua Jefferson,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
29,Sacramento Kings,Alex Karaban,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
30,Phoenix Suns,Koa Peat,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
31,Houston Rockets,Bruce Thornton,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
32,Memphis Grizzlies,Richie Saunders,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
33,Minnesota Timberwolves,Isaiah Evans,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
34,Cleveland Cavaliers,Meleek Thomas,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
35,Denver Nuggets,Trevon Brazile,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
36,Los Angeles Clippers,Baba Miller,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
37,Miami Heat,Ryan Conwell,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
38,Indiana Pacers,Braden Smith,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
39,New York Knicks,Jack Kayil,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
40,Boston Celtics,Dillon Mitchell,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
41,Oklahoma City Thunder,Otega Oweh,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
42,San Antonio Spurs,Ja'Kobi Gillespie,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
43,Brooklyn Nets,Tyler Bilodeau,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
44,San Antonio Spurs,Maliq Brown,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
45,Sacramento Kings,Emanuel Sharp,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
46,Washington Wizards,Felix Okpara,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
47,New York Knicks,Tyler Nickel,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
48,Dallas Mavericks,Tobi Lawal,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
49,Denver Nuggets,Bryce Hopkins,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
50,Toronto Raptors,Jaden Bradley,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
51,Orlando Magic,Izaiyah Nelson,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
52,Atlanta Hawks,Henri Veesaar,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
53,Detroit Pistons,Ugonna Onyenso,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
54,Golden State Warriors,Lajae Jones,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
55,Los Angeles Clippers,Nick Martinelli,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
56,Dallas Mavericks,Vsevolod Ishchenko,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
57,Los Angeles Clippers,Narcisse Ngoy,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
58,New Orleans Pelicans,Jaron Pierre Jr.,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
59,Minnesota Timberwolves,Trey Kaufman-Renn,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
60,Milwaukee Bucks,Malique Lewis,Wikipedia,https://en.wikipedia.org/wiki/2026_NBA_draft,2026-08-02
