id,team,player,date,kind,url,source_sentence
DI-01,WAS,AJ Dybantsa,2026-05-10,reported_intent,https://www.hoopsrumors.com/2026/05/draft-notes-dybantsa-wizards-mocks-jazz-tanner-more.html,frontrunner to go No. 1; GM: Washington will go with Dybantsa
DI-02,GSW,Yaxel Lendeborg,2026-06-13,workout,https://www.hoopsrumors.com/2026/06/draft-notes-lendeborg-warriors-wilson-suder-kayil.html,worked out for the Warriors on Thursday
DI-03,OKC,Yaxel Lendeborg,2026-06-13,workout,https://www.hoopsrumors.com/2026/06/draft-notes-lendeborg-warriors-wilson-suder-kayil.html,Warriors and Thunder (Nos. 12 and 17)
DI-04,MIA,Yaxel Lendeborg,2026-06-13,workout,https://www.hoopsrumors.com/2026/06/draft-notes-lendeborg-warriors-wilson-suder-kayil.html,worked out for the Heat (No. 13)
DI-05,MIL,Yaxel Lendeborg,2026-06-13,workout,https://www.hoopsrumors.com/2026/06/draft-notes-lendeborg-warriors-wilson-suder-kayil.html,worked out for the Bucks (No. 10)
DI-06,CHA,Yaxel Lendeborg,2026-06-13,workout,https://www.hoopsrumors.com/2026/06/draft-notes-lendeborg-warriors-wilson-suder-kayil.html,worked out for the Hornets (Nos. 14 and 18)
DI-07,DAL,Yaxel Lendeborg,2026-06-13,workout,https://www.hoopsrumors.com/2026/06/draft-notes-lendeborg-warriors-wilson-suder-kayil.html,worked out for the Mavericks (No. 9)
DI-08,LAC,Yaxel Lendeborg,2026-06-13,upcoming_workout,https://www.hoopsrumors.com/2026/06/draft-notes-lendeborg-warriors-wilson-suder-kayil.html,upcoming workouts with the Clippers (No. 5)
DI-09,ATL,Yaxel Lendeborg,2026-06-13,upcoming_workout,https://www.hoopsrumors.com/2026/06/draft-notes-lendeborg-warriors-wilson-suder-kayil.html,upcoming workouts with the Hawks (No. 8)
DI-10,LAC,Kingston Flemings,2026-06-16,visit,https://www.hoopsrumors.com/2026/06/draft-notes-flemings-anderson-pelicans-guide.html,"Flemings has visited the Clippers, Bulls, and Mavericks"
DI-11,CHI,Kingston Flemings,2026-06-16,visit,https://www.hoopsrumors.com/2026/06/draft-notes-flemings-anderson-pelicans-guide.html,"Flemings has visited the Clippers, Bulls, and Mavericks"
DI-12,DAL,Kingston Flemings,2026-06-16,visit,https://www.hoopsrumors.com/2026/06/draft-notes-flemings-anderson-pelicans-guide.html,"Flemings has visited the Clippers, Bulls, and Mavericks"
DI-13,NOP,Maliq Brown,2026-06-16,workout,https://www.hoopsrumors.com/2026/06/draft-notes-flemings-anderson-pelicans-guide.html,Pelicans held a pre-draft workout on Tuesday
DI-14,NOP,Malik Dia,2026-06-16,workout,https://www.hoopsrumors.com/2026/06/draft-notes-flemings-anderson-pelicans-guide.html,Pelicans held a pre-draft workout on Tuesday
DI-15,NOP,Xaivian Lee,2026-06-16,workout,https://www.hoopsrumors.com/2026/06/draft-notes-flemings-anderson-pelicans-guide.html,Pelicans held a pre-draft workout on Tuesday
DI-16,NOP,JJ Starling,2026-06-16,workout,https://www.hoopsrumors.com/2026/06/draft-notes-flemings-anderson-pelicans-guide.html,Pelicans held a pre-draft workout on Tuesday
DI-17,NOP,Peter Suder,2026-06-16,workout,https://www.hoopsrumors.com/2026/06/draft-notes-flemings-anderson-pelicans-guide.html,Pelicans held a pre-draft workout on Tuesday
DI-18,GSW,Brayden Burries,2026-06-18,workout,https://www.hoopsrumors.com/2026/06/draft-notes-warriors-mavericks-lopez-rankings.html,Warriors hosted a pre-draft workout on Thursday
DI-19,GSW,Cameron Carr,2026-06-18,workout,https://www.hoopsrumors.com/2026/06/draft-notes-warriors-mavericks-lopez-rankings.html,Warriors hosted a pre-draft workout on Thursday
DI-20,GSW,Anthony Dell'Orso,2026-06-18,workout,https://www.hoopsrumors.com/2026/06/draft-notes-warriors-mavericks-lopez-rankings.html,Warriors hosted a pre-draft workout on Thursday
DI-21,GSW,Labaron Philon Jr.,2026-06-18,workout,https://www.hoopsrumors.com/2026/06/draft-notes-warriors-mavericks-lopez-rankings.html,Warriors hosted a pre-draft workout on Thursday
DI-22,GSW,Hannes Steinbach,2026-06-18,workout,https://www.hoopsrumors.com/2026/06/draft-notes-warriors-mavericks-lopez-rankings.html,Warriors hosted a pre-draft workout on Thursday
DI-23,GSW,Bennett Stirtz,2026-06-18,workout,https://www.hoopsrumors.com/2026/06/draft-notes-warriors-mavericks-lopez-rankings.html,Warriors hosted a pre-draft workout on Thursday
DI-24,GSW,Barry Dunning,2026-06-18,workout,https://www.hoopsrumors.com/2026/06/draft-notes-warriors-mavericks-lopez-rankings.html,Warriors hosted a pre-draft workout on Thursday
DI-25,GSW,Lajae Jones,2026-06-18,workout,https://www.hoopsrumors.com/2026/06/draft-notes-warriors-mavericks-lopez-rankings.html,Warriors hosted a pre-draft workout on Thursday
DI-26,GSW,Tre White,2026-06-18,workout,https://www.hoopsrumors.com/2026/06/draft-notes-warriors-mavericks-lopez-rankings.html,Warriors hosted a pre-draft workout on Thursday
