slot,team,player,forecaster,published,url,retrieved
1,Washington Wizards,AJ Dybantsa,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
2,Utah Jazz,Darryn Peterson,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
3,Memphis Grizzlies,Cameron Boozer,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
4,Chicago Bulls,Caleb Wilson,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
5,Los Angeles Clippers,Mikel Brown Jr.,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
6,Brooklyn Nets,Darius Acuff Jr.,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
7,Sacramento Kings,Keaton Wagler,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
8,Atlanta Hawks,Kingston Flemings,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
9,Dallas Mavericks,Brayden Burries,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
10,Milwaukee Bucks,Nate Ament,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
11,Golden State Warriors,Karim Lopez,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
12,Oklahoma City Thunder,Aday Mara,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
13,Miami Heat,Labaron Philon Jr.,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
14,Charlotte Hornets,Yaxel Lendeborg,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
15,Chicago Bulls,Cameron Carr,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
16,Memphis Grizzlies,Christian Anderson Jr.,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
17,Oklahoma City Thunder,Morez Johnson Jr.,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
18,Charlotte Hornets,Hannes Steinbach,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
19,Toronto Raptors,Bennett Stirtz,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
20,San Antonio Spurs,Allen Graves,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
21,Detroit Pistons,Isaiah Evans,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
22,Philadelphia 76ers,Dailyn Swain,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
23,Atlanta Hawks,Chris Cenac Jr.,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
24,New York Knicks,Zuby Ejiofor,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
25,Los Angeles Lakers,Ebuka Okorie,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
26,Denver Nuggets,Joshua Jefferson,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
27,Boston Celtics,Koa Peat,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
28,Minnesota Timberwolves,Sergio de Larrea,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
29,Cleveland Cavaliers,Meleek Thomas,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
30,Dallas Mavericks,Jayden Quaintance,HoopsHQ final mock,2026-06-22,https://www.hoopshq.com/nba-draft/2026-nba-mock-draft,2026-08-02
