team_id,gm,start_season,end_season,source,url,retrieved,note
ATL,Onsi Saleh,2022-23,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
BOS,Brad Stevens,2021-22,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
BKN,Sean Marks,2016-17,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
CHA,Jeff Peterson,2024-25,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
CHI,Stephen Mervis,2026-27,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
CLE,Brandon Weems,2026-27,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
DAL,Mike Schmitz,2026-27,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
DEN,Ben Tenzer,2025-26,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
DET,Michael Blackstone,2024-25,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
GSW,Mike Dunleavy Jr.,2023-24,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
HOU,Rafael Stone,2020-21,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
IND,Chad Buchanan,2017-18,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
LAC,Trent Redden,2023-24,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
LAL,Rob Pelinka,2017-18,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
