season,TEAM_ID,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,PTS,PLUS_MINUS
2022-23,1610612744,GSW,0022200002,2022-10-18,GSW vs. LAL,W,123,14
2022-23,1610612738,BOS,0022200001,2022-10-18,BOS vs. PHI,W,126,9
2022-23,1610612755,PHI,0022200001,2022-10-18,PHI @ BOS,L,117,-9
2022-23,1610612747,LAL,0022200002,2022-10-18,LAL @ GSW,L,109,-14
2022-23,1610612741,CHI,0022200007,2022-10-19,CHI @ MIA,W,116,8
2022-23,1610612760,OKC,0022200010,2022-10-19,OKC @ MIN,L,108,-7
2022-23,1610612740,NOP,0022200006,2022-10-19,NOP @ BKN,W,130,22
2022-23,1610612763,MEM,0022200009,2022-10-19,MEM vs. NYK,W,115,3
2022-23,1610612765,DET,0022200003,2022-10-19,DET vs. ORL,W,113,4
2022-23,1610612764,WAS,0022200004,2022-10-19,WAS @ IND,W,114,7
2022-23,1610612742,DAL,0022200013,2022-10-19,DAL @ PHX,L,105,-2
2022-23,1610612758,SAC,0022200014,2022-10-19,SAC vs. POR,L,108,-7
2022-23,1610612757,POR,0022200014,2022-10-19,POR @ SAC,W,115,7
2022-23,1610612766,CHA,0022200011,2022-10-19,CHA @ SAS,W,129,27
2022-23,1610612745,HOU,0022200005,2022-10-19,HOU @ ATL,L,107,-10
2022-23,1610612761,TOR,0022200008,2022-10-19,TOR vs. CLE,W,108,3
2022-23,1610612751,BKN,0022200006,2022-10-19,BKN vs. NOP,L,108,-22
2022-23,1610612748,MIA,0022200007,2022-10-19,MIA vs. CHI,L,108,-8
2022-23,1610612756,PHX,0022200013,2022-10-19,PHX vs. DAL,W,107,2
2022-23,1610612762,UTA,0022200012,2022-10-19,UTA vs. DEN,W,123,21
2022-23,1610612737,ATL,0022200005,2022-10-19,ATL vs. HOU,W,117,10
2022-23,1610612750,MIN,0022200010,2022-10-19,MIN vs. OKC,W,115,7
2022-23,1610612739,CLE,0022200008,2022-10-19,CLE @ TOR,L,105,-3
2022-23,1610612743,DEN,0022200012,2022-10-19,DEN @ UTA,L,102,-21
2022-23,1610612752,NYK,0022200009,2022-10-19,NYK @ MEM,L,112,-3
2022-23,1610612754,IND,0022200004,2022-10-19,IND vs. WAS,L,107,-7
2022-23,1610612753,ORL,0022200003,2022-10-19,ORL @ DET,L,109,-4
2022-23,1610612759,SAS,0022200011,2022-10-19,SAS vs. CHA,L,102,-27
2022-23,1610612746,LAC,0022200016,2022-10-20,LAC @ LAL,W,103,6
2022-23,1610612755,PHI,0022200015,2022-10-20,PHI vs. MIL,L,88,-2
2022-23,1610612749,MIL,0022200015,2022-10-20,MIL @ PHI,W,90,2
2022-23,1610612747,LAL,0022200016,2022-10-20,LAL vs. LAC,L,97,-6
2022-23,1610612738,BOS,0022200022,2022-10-21,BOS @ MIA,W,111,7
2022-23,1610612762,UTA,0022200025,2022-10-21,UTA @ MIN,W,132,6
2022-23,1610612761,TOR,0022200021,2022-10-21,TOR @ BKN,L,105,-4
2022-23,1610612765,DET,0022200023,2022-10-21,DET @ NYK,L,106,-24
2022-23,1610612737,ATL,0022200020,2022-10-21,ATL vs. ORL,W,108,10
2022-23,1610612759,SAS,0022200018,2022-10-21,SAS @ IND,W,137,3
2022-23,1610612757,POR,0022200027,2022-10-21,POR vs. PHX,W,113,2
2022-23,1610612756,PHX,0022200027,2022-10-21,PHX @ POR,L,111,-2
2022-23,1610612754,IND,0022200018,2022-10-21,IND vs. SAS,L,134,-3
2022-23,1610612753,ORL,0022200020,2022-10-21,ORL @ ATL,L,98,-10
2022-23,1610612748,MIA,0022200022,2022-10-21,MIA vs. BOS,L,104,-7
2022-23,1610612766,CHA,0022200017,2022-10-21,CHA vs. NOP,L,112,-12
2022-23,1610612764,WAS,0022200019,2022-10-21,WAS vs. CHI,W,102,2
2022-23,1610612744,GSW,0022200026,2022-10-21,GSW vs. DEN,L,123,-5
2022-23,1610612743,DEN,0022200026,2022-10-21,DEN @ GSW,W,128,5
2022-23,1610612763,MEM,0022200024,2022-10-21,MEM @ HOU,W,129,7
2022-23,1610612751,BKN,0022200021,2022-10-21,BKN vs. TOR,W,109,4
2022-23,1610612750,MIN,0022200025,2022-10-21,MIN vs. UTA,L,126,-6
2022-23,1610612745,HOU,0022200024,2022-10-21,HOU vs. MEM,L,122,-7
2022-23,1610612741,CHI,0022200019,2022-10-21,CHI @ WAS,L,100,-2
2022-23,1610612752,NYK,0022200023,2022-10-21,NYK vs. DET,W,130,24
2022-23,1610612740,NOP,0022200017,2022-10-21,NOP @ CHA,W,124,12
2022-23,1610612761,TOR,0022200031,2022-10-22,TOR @ MIA,L,109,-3
2022-23,1610612745,HOU,0022200033,2022-10-22,HOU @ MIL,L,105,-20
2022-23,1610612738,BOS,0022200030,2022-10-22,BOS @ ORL,W,126,6
2022-23,1610612765,DET,0022200029,2022-10-22,DET @ IND,L,115,-9
2022-23,1610612759,SAS,0022200028,2022-10-22,SAS @ PHI,W,114,9
2022-23,1610612746,LAC,0022200036,2022-10-22,LAC @ SAC,W,111,2
2022-23,1610612755,PHI,0022200028,2022-10-22,PHI vs. SAS,L,105,-9
2022-23,1610612753,ORL,0022200030,2022-10-22,ORL vs. BOS,L,120,-6
2022-23,1610612741,CHI,0022200032,2022-10-22,CHI vs. CLE,L,96,-32
2022-23,1610612739,CLE,0022200032,2022-10-22,CLE @ CHI,W,128,32
2022-23,1610612763,MEM,0022200034,2022-10-22,MEM @ DAL,L,96,-41
2022-23,1610612760,OKC,0022200035,2022-10-22,OKC @ DEN,L,117,-5
2022-23,1610612749,MIL,0022200033,2022-10-22,MIL vs. HOU,W,125,20
2022-23,1610612758,SAC,0022200036,2022-10-22,SAC vs. LAC,L,109,-2
2022-23,1610612743,DEN,0022200035,2022-10-22,DEN vs. OKC,W,122,5
2022-23,1610612748,MIA,0022200031,2022-10-22,MIA vs. TOR,W,112,3
2022-23,1610612742,DAL,0022200034,2022-10-22,DAL vs. MEM,W,137,41
2022-23,1610612754,IND,0022200029,2022-10-22,IND vs. DET,W,124,9
2022-23,1610612757,POR,0022200037,2022-10-23,POR @ LAL,W,106,2
2022-23,1610612760,OKC,0022200041,2022-10-23,OKC vs. MIN,L,106,-10
2022-23,1610612746,LAC,0022200043,2022-10-23,LAC vs. PHX,L,95,-17
2022-23,1610612747,LAL,0022200037,2022-10-23,LAL vs. POR,L,104,-2
2022-23,1610612744,GSW,0022200042,2022-10-23,GSW vs. SAC,W,130,5
2022-23,1610612766,CHA,0022200038,2022-10-23,CHA @ ATL,W,126,17
2022-23,1610612764,WAS,0022200039,2022-10-23,WAS @ CLE,L,107,-10
2022-23,1610612762,UTA,0022200040,2022-10-23,UTA @ NOP,W,122,1
2022-23,1610612758,SAC,0022200042,2022-10-23,SAC @ GSW,L,125,-5
2022-23,1610612756,PHX,0022200043,2022-10-23,PHX @ LAC,W,112,17
2022-23,1610612750,MIN,0022200041,2022-10-23,MIN @ OKC,W,116,10
2022-23,1610612740,NOP,0022200040,2022-10-23,NOP vs. UTA,L,121,-1
2022-23,1610612739,CLE,0022200039,2022-10-23,CLE vs. WAS,W,117,10
2022-23,1610612737,ATL,0022200038,2022-10-23,ATL vs. CHA,L,109,-17
2022-23,1610612761,TOR,0022200045,2022-10-24,TOR @ MIA,W,98,8
2022-23,1610612759,SAS,0022200050,2022-10-24,SAS @ MIN,W,115,9
2022-23,1610612763,MEM,0022200049,2022-10-24,MEM vs. BKN,W,134,10
2022-23,1610612753,ORL,0022200046,2022-10-24,ORL @ NYK,L,102,-13
2022-23,1610612752,NYK,0022200046,2022-10-24,NYK vs. ORL,W,115,13
2022-23,1610612755,PHI,0022200044,2022-10-24,PHI vs. IND,W,120,14
2022-23,1610612754,IND,0022200044,2022-10-24,IND @ PHI,L,106,-14
2022-23,1610612743,DEN,0022200051,2022-10-24,DEN @ POR,L,110,-25
2022-23,1610612750,MIN,0022200050,2022-10-24,MIN vs. SAS,L,106,-9
2022-23,1610612741,CHI,0022200047,2022-10-24,CHI vs. BOS,W,120,18
2022-23,1610612738,BOS,0022200047,2022-10-24,BOS @ CHI,L,102,-18
2022-23,1610612757,POR,0022200051,2022-10-24,POR vs. DEN,W,135,25
2022-23,1610612762,UTA,0022200048,2022-10-24,UTA @ HOU,L,108,-6
2022-23,1610612748,MIA,0022200045,2022-10-24,MIA vs. TOR,L,90,-8
2022-23,1610612745,HOU,0022200048,2022-10-24,HOU vs. UTA,W,114,6
2022-23,1610612751,BKN,0022200049,2022-10-24,BKN @ MEM,L,124,-10
2022-23,1610612744,GSW,0022200055,2022-10-25,GSW @ PHX,L,105,-29
2022-23,1610612742,DAL,0022200053,2022-10-25,DAL @ NOP,L,111,-2
2022-23,1610612740,NOP,0022200053,2022-10-25,NOP vs. DAL,W,113,2
