season,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS
2012-13,1610612737,Atlanta Hawks,82,44,38,0.537,3971.0,3084,6644,706,1901,1158,1619,758,2593,3351,2007,1219.0,664,369,1473,8032,33.0
2012-13,1610612738,Boston Celtics,81,41,40,0.506,3968.0,3001,6459,498,1390,1318,1698,654,2533,3187,1843,1181.0,667,365,1717,7818,-18.0
2012-13,1610612751,Brooklyn Nets,82,49,33,0.598,3971.0,2942,6544,628,1760,1432,1958,1047,2460,3507,1668,1206.0,599,391,1500,7944,146.0
2012-13,1610612766,Charlotte Bobcats,82,21,61,0.256,3961.0,2823,6649,469,1399,1546,2060,917,2389,3306,1587,1153.0,591,479,1561,7661,-757.0
2012-13,1610612741,Chicago Bulls,82,45,37,0.549,3966.0,2926,6698,446,1265,1343,1738,1026,2514,3540,1886,1171.0,588,417,1617,7641,26.0
2012-13,1610612739,Cleveland Cavaliers,82,24,58,0.293,3946.0,2993,6901,547,1581,1380,1826,1004,2359,3363,1694,1149.0,647,334,1737,7913,-384.0
2012-13,1610612742,Dallas Mavericks,82,41,41,0.5,3996.0,3182,6892,606,1628,1323,1669,767,2670,3437,1906,1144.0,648,454,1698,8293,-49.0
2012-13,1610612743,Denver Nuggets,82,57,25,0.695,3981.0,3339,6983,521,1518,1505,2148,1092,2601,3693,2002,1253.0,762,533,1682,8704,417.0
2012-13,1610612765,Detroit Pistons,82,29,53,0.354,3961.0,2979,6638,513,1440,1307,1870,991,2463,3454,1742,1241.0,574,400,1623,7778,-327.0
2012-13,1610612744,Golden State Warriors,82,47,35,0.573,3961.0,3130,6840,658,1632,1378,1744,885,2801,3686,1845,1236.0,567,346,1753,8296,73.0
2012-13,1610612745,Houston Rockets,82,45,37,0.549,3956.0,3124,6782,867,2369,1573,2087,909,2652,3561,1902,1348.0,679,359,1662,8688,285.0
2012-13,1610612754,Indiana Pacers,81,49,32,0.605,3918.0,2845,6525,555,1599,1429,1915,1043,2671,3714,1645,1227.0,580,513,1623,7674,326.0
2012-13,1610612746,Los Angeles Clippers,82,56,26,0.683,3946.0,3160,6608,627,1752,1342,1888,938,2475,3413,1958,1197.0,784,461,1716,8289,529.0
2012-13,1610612747,Los Angeles Lakers,82,45,37,0.549,3951.0,3041,6640,715,2015,1584,2289,942,2732,3674,1818,1232.0,576,429,1467,8381,95.0
2012-13,1610612763,Memphis Grizzlies,82,56,26,0.683,3961.0,2964,6679,382,1107,1349,1746,1059,2445,3504,1715,1144.0,703,436,1660,7659,340.0
2012-13,1610612748,Miami Heat,82,66,16,0.805,3976.0,3148,6348,717,1809,1423,1887,676,2490,3166,1890,1143.0,710,441,1533,8436,645.0
